warehouse_id,article_id,n_steps,from,to
Lager 14,Artikel 42,1,2019-01-01,2020-08-31
Lager 14,Artikel 43,2,2017-08-01,2020-08-31
Lager 14,Artikel 44,2,2017-08-01,2020-08-31
Lager 14,Artikel 45,2,2017-08-01,2020-08-31
Lager 14,Artikel 46,2,2017-08-01,2020-08-31
Lager 14,Artikel 47,2,2017-08-01,2020-08-31
Lager 14,Artikel 48,1,2017-08-01,2020-08-31
Lager 14,Artikel 49,2,2017-08-01,2020-08-31
Lager 14,Artikel 50,1,2017-08-01,2020-08-31
Lager 14,Artikel 51,2,2018-09-01,2020-08-31
Lager 14,Artikel 52,1,2018-09-01,2020-08-31
Lager 14,Artikel 53,2,2017-08-01,2020-08-31
Lager 15,Artikel 1,2,2017-08-01,2020-08-31
Lager 15,Artikel 2,2,2017-08-01,2020-08-31
Lager 15,Artikel 3,1,2017-08-01,2020-08-31
Lager 15,Artikel 4,1,2018-09-01,2020-08-31
Lager 15,Artikel 5,2,2017-08-01,2020-08-31
Lager 15,Artikel 6,2,2017-08-01,2020-08-31
Lager 15,Artikel 7,2,2017-08-01,2020-08-31
Lager 15,Artikel 8,1,2018-09-01,2020-08-31
Lager 15,Artikel 9,1,2017-08-01,2020-08-31
Lager 15,Artikel 10,1,2017-08-01,2020-08-31
Lager 15,Artikel 11,1,2017-08-01,2020-08-31
Lager 15,Artikel 12,2,2017-08-01,2020-08-31
Lager 15,Artikel 13,1,2017-08-01,2020-08-31
Lager 15,Artikel 14,1,2017-08-01,2020-08-31
Lager 15,Artikel 15,1,2017-08-01,2020-08-31
Lager 15,Artikel 16,1,2017-08-01,2020-08-31
Lager 15,Artikel 17,1,2017-08-01,2020-08-31
Lager 15,Artikel 18,2,2017-08-01,2020-08-31
Lager 15,Artikel 19,2,2017-08-01,2020-08-31
Lager 15,Artikel 20,1,2017-08-01,2020-08-31
Lager 15,Artikel 21,2,2019-01-01,2020-08-31
Lager 15,Artikel 22,1,2019-01-01,2020-08-31
Lager 15,Artikel 23,2,2017-08-01,2020-08-31
Lager 15,Artikel 24,1,2017-08-01,2020-08-31
Lager 15,Artikel 25,2,2017-08-01,2020-08-31
Lager 15,Artikel 26,1,2019-01-01,2020-08-31
Lager 15,Artikel 27,2,2017-08-01,2020-08-31
Lager 15,Artikel 28,2,2017-08-01,2020-08-31
Lager 15,Artikel 29,1,2017-08-01,2020-08-31
Lager 15,Artikel 30,1,2017-08-01,2020-08-31
Lager 15,Artikel 31,3,2017-08-01,2020-08-31
Lager 15,Artikel 32,1,2017-08-01,2020-08-31
Lager 15,Artikel 33,1,2017-08-01,2020-08-31
Lager 15,Artikel 34,2,2017-08-01,2020-08-31
Lager 15,Artikel 35,2,2017-08-01,2020-08-31
Lager 15,Artikel 36,1,2019-01-01,2020-08-31
Lager 15,Artikel 37,1,2019-01-01,2020-08-31
Lager 15,Artikel 38,1,2017-08-01,2020-08-31
Lager 15,Artikel 39,2,2017-08-01,2020-08-31
Lager 15,Artikel 40,3,2017-08-01,2020-08-31
Lager 15,Artikel 41,1,2017-08-01,2020-08-31
Lager 15,Artikel 42,1,2019-01-01,2020-08-31
Lager 15,Artikel 43,2,2017-08-01,2020-08-31
Lager 15,Artikel 44,1,2017-08-01,2020-08-31
Lager 15,Artikel 45,2,2017-08-01,2020-08-31
Lager 15,Artikel 46,2,2017-08-01,2020-08-31
Lager 15,Artikel 47,2,2017-08-01,2020-08-31
Lager 15,Artikel 48,2,2017-08-01,2020-08-31
Lager 15,Artikel 49,1,2019-01-01,2020-08-31
Lager 15,Artikel 50,2,2017-08-01,2020-08-31
Lager 15,Artikel 51,1,2019-01-01,2020-08-31
Lager 15,Artikel 52,2,2017-08-01,2020-08-31
Lager 15,Artikel 53,2,2017-08-01,2020-08-31
Lager 16,Artikel 1,2,2017-08-01,2020-08-31
Lager 16,Artikel 2,2,2017-08-01,2020-08-31
Lager 16,Artikel 3,2,2017-08-01,2020-08-31
Lager 16,Artikel 4,1,2017-08-01,2020-08-31
Lager 16,Artikel 5,2,2017-08-01,2020-08-31
Lager 16,Artikel 6,1,2017-08-01,2020-08-31
Lager 16,Artikel 7,2,2018-09-01,2020-08-31
Lager 16,Artikel 8,1,2018-09-01,2020-08-31
Lager 16,Artikel 9,2,2017-08-01,2020-08-31
Lager 16,Artikel 10,2,2017-08-01,2020-08-31
Lager 16,Artikel 11,2,2017-08-01,2020-08-31
Lager 16,Artikel 12,1,2017-08-01,2020-08-31
Lager 16,Artikel 13,1,2018-09-01,2020-08-31
Lager 16,Artikel 14,2,2017-08-01,2020-08-31
Lager 16,Artikel 15,2,2017-08-01,2020-08-31
Lager 16,Artikel 16,2,2017-08-01,2020-08-31
Lager 16,Artikel 17,1,2018-09-01,2020-08-31
Lager 16,Artikel 18,1,2017-08-01,2020-08-31
Lager 16,Artikel 19,1,2017-08-01,2020-08-31
Lager 16,Artikel 20,1,2017-08-01,2020-08-31
Lager 16,Artikel 21,2,2017-08-01,2020-08-31
Lager 16,Artikel 22,1,2017-08-01,2020-08-31
Lager 16,Artikel 23,1,2017-08-01,2020-08-31
Lager 16,Artikel 24,1,2017-08-01,2020-08-31
Lager 16,Artikel 25,1,2017-08-01,2020-08-31
Lager 16,Artikel 26,1,2017-08-01,2020-08-31
Lager 16,Artikel 27,2,2017-08-01,2020-08-31
Lager 16,Artikel 28,2,2017-08-01,2020-08-31
Lager 16,Artikel 29,1,2017-08-01,2020-08-31
Lager 16,Artikel 30,2,2019-01-01,2020-08-31
Lager 16,Artikel 31,1,2019-01-01,2020-08-31
Lager 16,Artikel 32,2,2017-08-01,2020-08-31
Lager 16,Artikel 33,1,2017-08-01,2020-08-31
Lager 16,Artikel 34,2,2017-08-01,2020-08-31
Lager 16,Artikel 35,1,2019-01-01,2020-08-31
Lager 16,Artikel 36,2,2017-08-01,2020-08-31
Lager 16,Artikel 37,2,2017-08-01,2020-08-31
Lager 16,Artikel 38,1,2017-08-01,2020-08-31
Lager 16,Artikel 39,1,2017-08-01,2020-08-31
Lager 16,Artikel 40,3,2017-08-01,2020-08-31
Lager 16,Artikel 41,1,2017-08-01,2020-08-31
Lager 16,Artikel 42,1,2017-08-01,2020-08-31
Lager 16,Artikel 43,2,2017-08-01,2020-08-31
Lager 16,Artikel 44,2,2017-08-01,2020-08-31
Lager 16,Artikel 45,1,2019-01-01,2020-08-31
Lager 16,Artikel 46,1,2019-01-01,2020-08-31
Lager 16,Artikel 47,1,2017-08-01,2020-08-31
Lager 16,Artikel 48,2,2017-08-01,2020-08-31
Lager 16,Artikel 49,3,2017-08-01,2020-08-31
Lager 16,Artikel 50,1,2017-08-01,2020-08-31
Lager 16,Artikel 51,1,2019-01-01,2020-08-31
Lager 16,Artikel 52,2,2017-08-01,2020-08-31
Lager 16,Artikel 53,1,2017-08-01,2020-08-31
Lager 17,Artikel 1,2,2017-08-01,2020-08-31
Lager 17,Artikel 2,2,2017-08-01,2020-08-31
Lager 17,Artikel 3,2,2017-08-01,2020-08-31
Lager 17,Artikel 4,2,2017-08-01,2020-08-31
Lager 17,Artikel 5,1,2019-01-01,2020-08-31
Lager 17,Artikel 6,2,2017-08-01,2020-08-31
Lager 17,Artikel 7,1,2019-01-01,2020-08-31
Lager 17,Artikel 8,2,2017-08-01,2020-08-31
Lager 17,Artikel 9,2,2017-08-01,2020-08-31
Lager 17,Artikel 10,2,2017-08-01,2020-08-31
Lager 17,Artikel 11,2,2017-08-01,2020-08-31
Lager 17,Artikel 12,2,2017-08-01,2020-08-31
Lager 17,Artikel 13,1,2017-08-01,2020-08-31
Lager 17,Artikel 14,2,2017-08-01,2020-08-31
Lager 17,Artikel 15,1,2017-08-01,2020-08-31
Lager 17,Artikel 16,2,2018-09-01,2020-08-31
Lager 17,Artikel 17,1,2018-09-01,2020-08-31
Lager 17,Artikel 18,2,2017-08-01,2020-08-31
Lager 17,Artikel 19,2,2017-08-01,2020-08-31
Lager 17,Artikel 20,2,2017-08-01,2020-08-31
Lager 17,Artikel 21,1,2017-08-01,2020-08-31
Lager 17,Artikel 22,1,2018-09-01,2020-08-31
Lager 17,Artikel 23,2,2017-08-01,2020-08-31
Lager 17,Artikel 24,2,2017-08-01,2020-08-31
Lager 17,Artikel 25,2,2017-08-01,2020-08-31
Lager 17,Artikel 26,1,2018-09-01,2020-08-31
Lager 17,Artikel 27,1,2017-08-01,2020-08-31
Lager 17,Artikel 28,1,2017-08-01,2020-08-31
Lager 17,Artikel 29,1,2017-08-01,2020-08-31
Lager 17,Artikel 30,2,2017-08-01,2020-08-31
Lager 17,Artikel 31,1,2017-08-01,2020-08-31
Lager 17,Artikel 32,1,2017-08-01,2020-08-31
Lager 17,Artikel 33,1,2017-08-01,2020-08-31
Lager 17,Artikel 34,1,2017-08-01,2020-08-31
Lager 17,Artikel 35,1,2017-08-01,2020-08-31
Lager 17,Artikel 36,2,2017-08-01,2020-08-31
Lager 17,Artikel 37,2,2017-08-01,2020-08-31
Lager 17,Artikel 38,1,2017-08-01,2020-08-31
Lager 17,Artikel 39,2,2019-01-01,2020-08-31
Lager 17,Artikel 40,1,2019-01-01,2020-08-31
Lager 17,Artikel 41,2,2017-08-01,2020-08-31
Lager 17,Artikel 42,1,2017-08-01,2020-08-31
Lager 17,Artikel 43,2,2017-08-01,2020-08-31
Lager 17,Artikel 44,1,2019-01-01,2020-08-31
Lager 17,Artikel 45,2,2017-08-01,2020-08-31
Lager 17,Artikel 46,2,2017-08-01,2020-08-31
Lager 17,Artikel 47,1,2017-08-01,2020-08-31
Lager 17,Artikel 48,1,2017-08-01,2020-08-31
Lager 17,Artikel 49,3,2017-08-01,2020-08-31
Lager 17,Artikel 50,1,2017-08-01,2020-08-31
Lager 17,Artikel 51,1,2017-08-01,2020-08-31
Lager 17,Artikel 52,2,2017-08-01,2020-08-31
Lager 17,Artikel 53,2,2017-08-01,2020-08-31
Lager 18,Artikel 1,1,2019-01-01,2020-08-31
Lager 18,Artikel 2,1,2019-01-01,2020-08-31
Lager 18,Artikel 3,1,2017-08-01,2020-08-31
Lager 18,Artikel 4,2,2017-08-01,2020-08-31
Lager 18,Artikel 5,3,2017-08-01,2020-08-31
Lager 18,Artikel 6,1,2017-08-01,2020-08-31
Lager 18,Artikel 7,1,2019-01-01,2020-08-31
Lager 18,Artikel 8,2,2017-08-01,2020-08-31
Lager 18,Artikel 9,1,2017-08-01,2020-08-31
Lager 18,Artikel 10,2,2017-08-01,2020-08-31
Lager 18,Artikel 11,2,2017-08-01,2020-08-31
Lager 18,Artikel 12,2,2017-08-01,2020-08-31
Lager 18,Artikel 13,2,2017-08-01,2020-08-31
Lager 18,Artikel 14,1,2019-01-01,2020-08-31
Lager 18,Artikel 15,2,2017-08-01,2020-08-31
Lager 18,Artikel 16,1,2019-01-01,2020-08-31
Lager 18,Artikel 17,2,2017-08-01,2020-08-31
Lager 18,Artikel 18,2,2017-08-01,2020-08-31
Lager 18,Artikel 19,2,2017-08-01,2020-08-31
Lager 18,Artikel 20,2,2017-08-01,2020-08-31
Lager 18,Artikel 21,2,2017-08-01,2020-08-31
Lager 18,Artikel 22,1,2017-08-01,2020-08-31
Lager 18,Artikel 23,2,2017-08-01,2020-08-31
Lager 18,Artikel 24,1,2017-08-01,2020-08-31
Lager 18,Artikel 25,2,2018-09-01,2020-08-31
Lager 18,Artikel 26,1,2018-09-01,2020-08-31
Lager 18,Artikel 27,2,2017-08-01,2020-08-31
Lager 18,Artikel 28,2,2017-08-01,2020-08-31
Lager 18,Artikel 29,2,2017-08-01,2020-08-31
Lager 18,Artikel 30,1,2017-08-01,2020-08-31
Lager 18,Artikel 31,1,2018-09-01,2020-08-31
Lager 18,Artikel 32,2,2017-08-01,2020-08-31
Lager 18,Artikel 33,2,2017-08-01,2020-08-31
Lager 18,Artikel 34,2,2017-08-01,2020-08-31
Lager 18,Artikel 35,1,2018-09-01,2020-08-31
Lager 18,Artikel 36,1,2017-08-01,2020-08-31
Lager 18,Artikel 37,1,2017-08-01,2020-08-31
Lager 18,Artikel 38,1,2017-08-01,2020-08-31
Lager 18,Artikel 39,2,2017-08-01,2020-08-31
Lager 18,Artikel 40,1,2017-08-01,2020-08-31
Lager 18,Artikel 41,1,2017-08-01,2020-08-31
Lager 18,Artikel 42,1,2017-08-01,2020-08-31
Lager 18,Artikel 43,1,2017-08-01,2020-08-31
Lager 18,Artikel 44,1,2017-08-01,2020-08-31
Lager 18,Artikel 45,2,2017-08-01,2020-08-31
Lager 18,Artikel 46,2,2017-08-01,2020-08-31
Lager 18,Artikel 47,1,2017-08-01,2020-08-31
Lager 18,Artikel 48,2,2019-01-01,2020-08-31
Lager 18,Artikel 49,1,2019-01-01,2020-08-31
Lager 18,Artikel 50,2,2017-08-01,2020-08-31
Lager 18,Artikel 51,1,2017-08-01,2020-08-31
Lager 18,Artikel 52,2,2017-08-01,2020-08-31
Lager 18,Artikel 53,1,2019-01-01,2020-08-31
Lager 19,Artikel 1,2,2017-08-01,2020-08-31
Lager 19,Artikel 2,2,2017-08-01,2020-08-31
Lager 19,Artikel 3,1,2017-08-01,2020-08-31
Lager 19,Artikel 4,1,2017-08-01,2020-08-31
Lager 19,Artikel 5,3,2017-08-01,2020-08-31
Lager 19,Artikel 6,1,2017-08-01,2020-08-31
Lager 19,Artikel 7,1,2017-08-01,2020-08-31
Lager 19,Artikel 8,2,2017-08-01,2020-08-31
Lager 19,Artikel 9,2,2017-08-01,2020-08-31
Lager 19,Artikel 10,1,2019-01-01,2020-08-31
Lager 19,Artikel 11,1,2019-01-01,2020-08-31
Lager 19,Artikel 12,1,2017-08-01,2020-08-31
Lager 19,Artikel 13,2,2017-08-01,2020-08-31
Lager 19,Artikel 14,3,2017-08-01,2020-08-31
Lager 19,Artikel 15,1,2017-08-01,2020-08-31
Lager 19,Artikel 16,1,2019-01-01,2020-08-31
Lager 19,Artikel 17,2,2017-08-01,2020-08-31
Lager 19,Artikel 18,1,2017-08-01,2020-08-31
Lager 19,Artikel 19,2,2017-08-01,2020-08-31
Lager 19,Artikel 20,2,2017-08-01,2020-08-31
Lager 19,Artikel 21,2,2017-08-01,2020-08-31
Lager 19,Artikel 22,2,2017-08-01,2020-08-31
Lager 19,Artikel 23,1,2019-01-01,2020-08-31
Lager 19,Artikel 24,2,2017-08-01,2020-08-31
Lager 19,Artikel 25,1,2019-01-01,2020-08-31
Lager 19,Artikel 26,2,2017-08-01,2020-08-31
Lager 19,Artikel 27,2,2017-08-01,2020-08-31
Lager 19,Artikel 28,2,2017-08-01,2020-08-31
Lager 19,Artikel 29,2,2017-08-01,2020-08-31
Lager 19,Artikel 30,2,2017-08-01,2020-08-31
Lager 19,Artikel 31,1,2017-08-01,2020-08-31
Lager 19,Artikel 32,2,2017-08-01,2020-08-31
Lager 19,Artikel 33,1,2017-08-01,2020-08-31
Lager 19,Artikel 34,2,2018-09-01,2020-08-31
Lager 19,Artikel 35,1,2018-09-01,2020-08-31
Lager 19,Artikel 36,2,2017-08-01,2020-08-31
Lager 19,Artikel 37,2,2017-08-01,2020-08-31
Lager 19,Artikel 38,2,2017-08-01,2020-08-31
Lager 19,Artikel 39,1,2017-08-01,2020-08-31
Lager 19,Artikel 40,1,2018-09-01,2020-08-31
Lager 19,Artikel 41,2,2017-08-01,2020-08-31
Lager 19,Artikel 42,2,2017-08-01,2020-08-31
Lager 19,Artikel 43,2,2017-08-01,2020-08-31
Lager 19,Artikel 44,1,2018-09-01,2020-08-31
Lager 19,Artikel 45,1,2017-08-01,2020-08-31
Lager 19,Artikel 46,1,2017-08-01,2020-08-31
Lager 19,Artikel 47,1,2017-08-01,2020-08-31
Lager 19,Artikel 48,2,2017-08-01,2020-08-31
Lager 19,Artikel 49,1,2017-08-01,2020-08-31
Lager 19,Artikel 50,1,2017-08-01,2020-08-31
Lager 19,Artikel 51,1,2017-08-01,2020-08-31
Lager 19,Artikel 52,1,2017-08-01,2020-08-31
Lager 19,Artikel 53,1,2017-08-01,2020-08-31
Lager 20,Artikel 1,2,2017-08-01,2020-08-31
Lager 20,Artikel 2,2,2017-08-01,2020-08-31
Lager 20,Artikel 3,1,2017-08-01,2020-08-31
Lager 20,Artikel 4,2,2019-01-01,2020-08-31
Lager 20,Artikel 5,1,2019-01-01,2020-08-31
Lager 20,Artikel 6,2,2017-08-01,2020-08-31
Lager 20,Artikel 7,1,2017-08-01,2020-08-31
Lager 20,Artikel 8,2,2017-08-01,2020-08-31
Lager 20,Artikel 9,1,2019-01-01,2020-08-31
Lager 20,Artikel 10,2,2017-08-01,2020-08-31
Lager 20,Artikel 11,2,2017-08-01,2020-08-31
Lager 20,Artikel 12,1,2017-08-01,2020-08-31
Lager 20,Artikel 13,1,2017-08-01,2020-08-31
Lager 20,Artikel 14,3,2017-08-01,2020-08-31
Lager 20,Artikel 15,1,2017-08-01,2020-08-31
Lager 20,Artikel 16,1,2017-08-01,2020-08-31
Lager 20,Artikel 17,2,2017-08-01,2020-08-31
Lager 20,Artikel 18,2,2017-08-01,2020-08-31
Lager 20,Artikel 19,1,2019-01-01,2020-08-31
Lager 20,Artikel 20,1,2019-01-01,2020-08-31
Lager 20,Artikel 21,1,2017-08-01,2020-08-31
Lager 20,Artikel 22,2,2017-08-01,2020-08-31
Lager 20,Artikel 23,3,2017-08-01,2020-08-31
Lager 20,Artikel 24,1,2017-08-01,2020-08-31
Lager 20,Artikel 25,1,2019-01-01,2020-08-31
Lager 20,Artikel 26,2,2017-08-01,2020-08-31
Lager 20,Artikel 27,1,2017-08-01,2020-08-31
Lager 20,Artikel 28,2,2017-08-01,2020-08-31
Lager 20,Artikel 29,2,2017-08-01,2020-08-31
Lager 20,Artikel 30,2,2017-08-01,2020-08-31
Lager 20,Artikel 31,2,2017-08-01,2020-08-31
Lager 20,Artikel 32,1,2019-01-01,2020-08-31
Lager 20,Artikel 33,2,2017-08-01,2020-08-31
Lager 20,Artikel 34,1,2019-01-01,2020-08-31
Lager 20,Artikel 35,2,2017-08-01,2020-08-31
Lager 20,Artikel 36,2,2017-08-01,2020-08-31
Lager 20,Artikel 37,2,2017-08-01,2020-08-31
Lager 20,Artikel 38,2,2017-08-01,2020-08-31
Lager 20,Artikel 39,2,2017-08-01,2020-08-31
Lager 20,Artikel 40,1,2017-08-01,2020-08-31
Lager 20,Artikel 41,2,2017-08-01,2020-08-31
Lager 20,Artikel 42,1,2017-08-01,2020-08-31
Lager 20,Artikel 43,2,2018-09-01,2020-08-31
Lager 20,Artikel 44,1,2018-09-01,2020-08-31
Lager 20,Artikel 45,2,2017-08-01,2020-08-31
Lager 20,Artikel 46,2,2017-08-01,2020-08-31
Lager 20,Artikel 47,2,2017-08-01,2020-08-31
Lager 20,Artikel 48,1,2017-08-01,2020-08-31
Lager 20,Artikel 49,1,2018-09-01,2020-08-31
Lager 20,Artikel 50,2,2017-08-01,2020-08-31
Lager 20,Artikel 51,2,2017-08-01,2020-08-31
Lager 20,Artikel 52,2,2017-08-01,2020-08-31
Lager 20,Artikel 53,1,2018-09-01,2020-08-31
Lager 21,Artikel 1,1,2017-08-01,2020-08-31
Lager 21,Artikel 2,1,2017-08-01,2020-08-31
Lager 21,Artikel 3,1,2017-08-01,2020-08-31
Lager 21,Artikel 4,2,2017-08-01,2020-08-31
Lager 21,Artikel 5,1,2017-08-01,2020-08-31
Lager 21,Artikel 6,1,2017-08-01,2020-08-31
Lager 21,Artikel 7,1,2017-08-01,2020-08-31
Lager 21,Artikel 8,1,2017-08-01,2020-08-31
Lager 21,Artikel 9,1,2017-08-01,2020-08-31
Lager 21,Artikel 10,2,2017-08-01,2020-08-31
Lager 21,Artikel 11,2,2017-08-01,2020-08-31
Lager 21,Artikel 12,1,2017-08-01,2020-08-31
Lager 21,Artikel 13,2,2019-01-01,2020-08-31
Lager 21,Artikel 14,1,2019-01-01,2020-08-31
Lager 21,Artikel 15,2,2017-08-01,2020-08-31
Lager 21,Artikel 16,1,2017-08-01,2020-08-31
Lager 21,Artikel 17,2,2017-08-01,2020-08-31
Lager 21,Artikel 18,1,2019-01-01,2020-08-31
Lager 21,Artikel 19,2,2017-08-01,2020-08-31
Lager 21,Artikel 20,2,2017-08-01,2020-08-31
Lager 21,Artikel 21,1,2017-08-01,2020-08-31
Lager 21,Artikel 22,1,2017-08-01,2020-08-31
Lager 21,Artikel 23,3,2017-08-01,2020-08-31
Lager 21,Artikel 24,1,2017-08-01,2020-08-31
Lager 21,Artikel 25,1,2017-08-01,2020-08-31
Lager 21,Artikel 26,2,2017-08-01,2020-08-31
Lager 21,Artikel 27,2,2017-08-01,2020-08-31
Lager 21,Artikel 28,1,2019-01-01,2020-08-31
Lager 21,Artikel 29,1,2019-01-01,2020-08-31
Lager 21,Artikel 30,1,2017-08-01,2020-08-31
Lager 21,Artikel 31,2,2017-08-01,2020-08-31
Lager 21,Artikel 32,3,2017-08-01,2020-08-31
Lager 21,Artikel 33,1,2017-08-01,2020-08-31
Lager 21,Artikel 34,1,2019-01-01,2020-08-31
Lager 21,Artikel 35,2,2017-08-01,2020-08-31
Lager 21,Artikel 36,1,2017-08-01,2020-08-31
Lager 21,Artikel 37,2,2017-08-01,2020-08-31
Lager 21,Artikel 38,2,2017-08-01,2020-08-31
Lager 21,Artikel 39,2,2017-08-01,2020-08-31
Lager 21,Artikel 40,2,2017-08-01,2020-08-31
Lager 21,Artikel 41,1,2019-01-01,2020-08-31
Lager 21,Artikel 42,2,2017-08-01,2020-08-31
Lager 21,Artikel 43,1,2019-01-01,2020-08-31
Lager 21,Artikel 44,2,2017-08-01,2020-08-31
Lager 21,Artikel 45,2,2017-08-01,2020-08-31
Lager 21,Artikel 46,2,2017-08-01,2020-08-31
Lager 21,Artikel 47,2,2017-08-01,2020-08-31
Lager 21,Artikel 48,2,2017-08-01,2020-08-31
